# Final state angular momentum:   1
# Broadening parameter (in eV):    0.350
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
    1.31131131    0.08971587
    1.36136136    0.08372568
    1.41141141    0.07654242
    1.46146146    0.06917085
    1.51151151    0.06229256
    1.56156156    0.05627133
    1.61161161    0.05124405
    1.66166166    0.04721690
    1.71171171    0.04413614
    1.76176176    0.04193117
    1.81181181    0.04053791
    1.86186186    0.03990979
    1.91191191    0.04002215
    1.96196196    0.04087249
    2.01201201    0.04247763
    2.06206206    0.04486670
    2.11211211    0.04806742
    2.16216216    0.05208133
    2.21221221    0.05684350
    2.26226226    0.06216645
    2.31231231    0.06768163
    2.36236236    0.07281788
    2.41241241    0.07687676
    2.46246246    0.07923582
    2.51251251    0.07960569
    2.56256256    0.07816959
    2.61261261    0.07549297
    2.66266266    0.07227686
    2.71271271    0.06912513
    2.76276276    0.06642474
    2.81281281    0.06432696
    2.86286286    0.06277719
    2.91291291    0.06155986
    2.96296296    0.06035664
    3.01301301    0.05882856
    3.06306306    0.05671720
    3.11311311    0.05392824
    3.16316316    0.05055176
    3.21321321    0.04680809
    3.26326326    0.04295737
    3.31331331    0.03922419
    3.36336336    0.03576233
    3.41341341    0.03265419
    3.46346346    0.02992753
    3.51351351    0.02757542
    3.56356356    0.02557250
    3.61361361    0.02388608
    3.66366366    0.02248279
    3.71371371    0.02133220
    3.76376376    0.02040851
    3.81381381    0.01969124
    3.86386386    0.01916539
    3.91391391    0.01882136
    3.96396396    0.01865485
    4.01401401    0.01866681
    4.06406406    0.01886350
    4.11411411    0.01925666
    4.16416416    0.01986367
    4.21421421    0.02070777
    4.26426426    0.02181788
    4.31431431    0.02322772
    4.36436436    0.02497334
    4.41441441    0.02708772
    4.46446446    0.02959048
    4.51451451    0.03247018
    4.56456456    0.03565761
    4.61461461    0.03899272
    4.66466466    0.04219760
    4.71471471    0.04488188
    4.76476476    0.04661148
    4.81481481    0.04704273
    4.86486486    0.04606267
    4.91491491    0.04384086
    4.96496496    0.04075258
    5.01501502    0.03723182
    5.06506507    0.03364792
    5.11511512    0.03025178
    5.16516517    0.02718001
    5.21521522    0.02448510
    5.26526527    0.02216789
    5.31531532    0.02020240
    5.36536537    0.01855169
    5.41541542    0.01717682
    5.46546547    0.01604126
    5.51551552    0.01511263
    5.56556557    0.01436294
    5.61561562    0.01376811
    5.66566567    0.01330709
    5.71571572    0.01296083
    5.76576577    0.01271131
    5.81581582    0.01254057
    5.86586587    0.01243021
    5.91591592    0.01236125
    5.96596597    0.01231483
    6.01601602    0.01227342
    6.06606607    0.01222265
    6.11611612    0.01215302
    6.16616617    0.01206109
    6.21621622    0.01194948
    6.26626627    0.01182600
    6.31631632    0.01170188
    6.36636637    0.01158992
    6.41641642    0.01150294
    6.46646647    0.01145268
    6.51651652    0.01144936
    6.56656657    0.01150153
    6.61661662    0.01161617
    6.66666667    0.01179879
    6.71671672    0.01205345
    6.76676677    0.01238250
    6.81681682    0.01278607
    6.86686687    0.01326124
    6.91691692    0.01380082
    6.96696697    0.01439199
    7.01701702    0.01501506
    7.06706707    0.01564274
    7.11711712    0.01624072
    7.16716717    0.01677006
    7.21721722    0.01719179
    7.26726727    0.01747291
    7.31731732    0.01759259
    7.36736737    0.01754619
    7.41741742    0.01734597
    7.46746747    0.01701808
    7.51751752    0.01659705
    7.56756757    0.01611982
    7.61761762    0.01562082
    7.66766767    0.01512893
    7.71771772    0.01466623
    7.76776777    0.01424815
    7.81781782    0.01388432
    7.86786787    0.01357974
    7.91791792    0.01333584
    7.96796797    0.01315137
    8.01801802    0.01302314
    8.06806807    0.01294644
    8.11811812    0.01291541
    8.16816817    0.01292329
    8.21821822    0.01296268
    8.26826827    0.01302579
    8.31831832    0.01310481
    8.36836837    0.01319235
    8.41841842    0.01328189
    8.46846847    0.01336826
    8.51851852    0.01344804
    8.56856857    0.01351969
    8.61861862    0.01358359
    8.66866867    0.01364175
    8.71871872    0.01369735
    8.76876877    0.01375413
    8.81881882    0.01381573
    8.86886887    0.01388504
    8.91891892    0.01396353
    8.96896897    0.01405079
    9.01901902    0.01414405
    9.06906907    0.01423795
    9.11911912    0.01432455
    9.16916917    0.01439357
    9.21921922    0.01443316
    9.26926927    0.01443095
    9.31931932    0.01437560
    9.36936937    0.01425845
    9.41941942    0.01407495
    9.46946947    0.01382563
    9.51951952    0.01351621
    9.56956957    0.01315695
    9.61961962    0.01276118
    9.66966967    0.01234373
    9.71971972    0.01191926
    9.76976977    0.01150108
    9.81981982    0.01110034
    9.86986987    0.01072572
    9.91991992    0.01038350
    9.96996997    0.01007776
   10.02002002    0.00981076
   10.07007007    0.00958334
   10.12012012    0.00939517
   10.17017017    0.00924513
   10.22022022    0.00913147
   10.27027027    0.00905200
   10.32032032    0.00900424
   10.37037037    0.00898551
   10.42042042    0.00899309
   10.47047047    0.00902430
   10.52052052    0.00907670
   10.57057057    0.00914822
   10.62062062    0.00923733
   10.67067067    0.00934320
   10.72072072    0.00946579
   10.77077077    0.00960590
   10.82082082    0.00976515
   10.87087087    0.00994585
   10.92092092    0.01015082
   10.97097097    0.01038314
   11.02102102    0.01064582
   11.07107107    0.01094137
   11.12112112    0.01127137
   11.17117117    0.01163587
   11.22122122    0.01203275
   11.27127127    0.01245695
   11.32132132    0.01289978
   11.37137137    0.01334832
   11.42142142    0.01378523
   11.47147147    0.01418923
   11.52152152    0.01453646
   11.57157157    0.01480299
   11.62162162    0.01496804
   11.67167167    0.01501744
   11.72172172    0.01494631
   11.77177177    0.01476019
   11.82182182    0.01447417
   11.87187187    0.01411036
   11.92192192    0.01369446
   11.97197197    0.01325237
   12.02202202    0.01280759
   12.07207207    0.01237970
   12.12212212    0.01198373
   12.17217217    0.01163038
   12.22222222    0.01132654
   12.27227227    0.01107604
   12.32232232    0.01088029
   12.37237237    0.01073891
   12.42242242    0.01065008
   12.47247247    0.01061083
   12.52252252    0.01061722
   12.57257257    0.01066437
   12.62262262    0.01074651
   12.67267267    0.01085704
   12.72272272    0.01098864
   12.77277277    0.01113350
   12.82282282    0.01128361
   12.87287287    0.01143124
   12.92292292    0.01156943
   12.97297297    0.01169246
   13.02302302    0.01179623
   13.07307307    0.01187847
   13.12312312    0.01193867
   13.17317317    0.01197787
   13.22322322    0.01199822
   13.27327327    0.01200241
   13.32332332    0.01199321
   13.37337337    0.01197285
   13.42342342    0.01194270
   13.47347347    0.01190295
   13.52352352    0.01185252
   13.57357357    0.01178912
   13.62362362    0.01170950
   13.67367367    0.01160991
   13.72372372    0.01148664
   13.77377377    0.01133664
   13.82382382    0.01115810
   13.87387387    0.01095087
   13.92392392    0.01071663
   13.97397397    0.01045886
   14.02402402    0.01018249
   14.07407407    0.00989346
   14.12412412    0.00959817
   14.17417417    0.00930296
   14.22422422    0.00901373
   14.27427427    0.00873562
   14.32432432    0.00847287
   14.37437437    0.00822873
   14.42442442    0.00800555
   14.47447447    0.00780482
   14.52452452    0.00762729
   14.57457457    0.00747314
   14.62462462    0.00734204
